Time,current_position_1,current_position_2,current_position_3,error_position_1,error_position_2,error_position_3,controller_1,controller_2,controller_3
13.16,-0.0114984790153294,-0.0307256594938052,0.839212922379375,0.0114984790153294,0.0307256594938052,-0.0392129223793745,-0.00481549454730112,-0.0591661720791678,-0.394418148301542
13.2,-0.0116433857840321,-0.0308291007476727,0.838954297825694,0.0116433857840321,0.0308291007476727,-0.038954297825694,-0.00443902368021789,-0.0595959142400759,-0.395115896207839
13.24,-0.0116009919890058,-0.0309272538654,0.838480142876506,0.0116009919890058,0.0309272538654,-0.0384801428765058,-0.00583744865462854,-0.0596571726676099,-0.392801423373818
13.28,-0.0115215256204105,-0.0311358753384556,0.837727991864085,0.0115215256204105,0.0311358753384556,-0.0377279918640852,-0.00612407751985502,-0.0606309884295249,-0.389722347521037
13.32,-0.0113071242405371,-0.0312219062939663,0.837759343907237,0.0113071242405371,0.0312219062939663,-0.037759343907237,-0.00719880760515019,-0.0598082436808198,-0.397648510082066
13.36,-0.0112575279920012,-0.0312428317918545,0.838174788281322,0.0112575279920012,0.0312428317918545,-0.0381747882813215,-0.00595999337105185,-0.0593907667603941,-0.401772674266249
13.4,-0.0111528493407775,-0.0313089789889168,0.838655857369304,0.0111528493407775,0.0313089789889168,-0.0386558573693037,-0.00639246779571586,-0.0598188740466081,-0.40274580552578
13.44,-0.0111513406330228,-0.0313719531876712,0.839188424870372,0.0111513406330228,0.0313719531876712,-0.0391884248703718,-0.00559699100411855,-0.0598828841967792,-0.403604385121912
13.48,-0.0110911033666775,-0.0314189394990329,0.839749483391643,0.0110911033666775,0.0314189394990329,-0.0397494833916425,-0.00603924741882028,-0.0598445134722535,-0.404248201434314
13.52,-0.011324619322611,-0.0313255933445756,0.840535013005137,0.011324619322611,0.0313255933445756,-0.0405350130051374,-0.00372050966262207,-0.0588175193958262,-0.406965176130086
13.56,-0.0114238849361341,-0.0315311664092205,0.841267196461558,0.0114238849361341,0.0315311664092205,-0.0412671964615583,-0.00466503174664645,-0.06120429395164,-0.406878876313567
13.6,-0.0115413423209946,-0.031692325072992,0.841658918187022,0.0115413423209946,0.031692325072992,-0.0416589181870222,-0.00445876273779894,-0.0609987117434168,-0.403752654259652
13.64,-0.0116390987806308,-0.0317455675214147,0.841751722618937,0.0116390987806308,0.0317455675214147,-0.0417517226189374,-0.00454433440848457,-0.060274021757815,-0.400893201376498
13.68,-0.0116735763341336,-0.0317482768904763,0.841575710102916,0.0116735763341336,0.0317482768904763,-0.0415757101029157,-0.00498185698552295,-0.0599595985452748,-0.398200529084355
13.72,-0.0118444305475463,-0.0319381875245899,0.841345874592662,0.0118444305475463,0.0319381875245899,-0.0413458745926618,-0.00386734319816518,-0.0615030688405915,-0.397630532807112
13.76,-0.0120887368695652,-0.0319059100245885,0.841086415573955,0.0120887368695652,0.0319059100245885,-0.0410864155739545,-0.00319504099371645,-0.0598876232097768,-0.39728725996241
13.8,-0.0123169516422295,-0.0319147035177309,0.840618221089244,0.0123169516422295,0.0319147035177309,-0.0406182210892438,-0.00320026423107097,-0.0602629848756624,-0.395047980891168
13.84,-0.0128106600168506,-0.031978689842887,0.840169994160533,0.0128106600168506,0.031978689842887,-0.0401699941605329,-0.000986944963261835,-0.060766355052862,-0.395104779428989
13.88,-0.0134449636622979,-0.0320716493991848,0.839631585404277,0.0134449636622979,0.0320716493991848,-0.0396315854042768,0.000346862346147315,-0.0610847954886305,-0.39401409676373
13.92,-0.013961654162892,-0.0320073520843676,0.839580146595836,0.013961654162892,0.0320073520843676,-0.0395801465958356,-0.000301670112689745,-0.0599437933281389,-0.398937340008467
13.96,-0.0144017515271883,-0.0318829977538972,0.839653460308909,0.0144017515271883,0.0318829977538972,-0.0396534603089094,-0.000672156380878509,-0.0595076386827211,-0.400300682373345
14,-0.0147918724602819,-0.0317781442382236,0.839687494561076,0.0147918724602819,0.0317781442382236,-0.0396874945610761,-0.000862127738607771,-0.0596757193829346,-0.400004211810976
